文件名,协方差矩阵
los-0.8m.csv,"[[0.0005175324715852075, 0.005425707288462705, 0.0025986359878019854], [0.005425707288462705, 0.22148989898989876, 0.14765151515151503], [0.0025986359878019854, 0.14765151515151503, 0.15098484848484867]]"
los-1.0m.csv,"[[0.0006564664464711678, 0.00204999859284873, 0.0011583820497146763], [0.00204999859284873, 0.45202020202020204, 0.17323232323232313], [0.0011583820497146763, 0.17323232323232313, 0.17636363636363617]]"
los-1.2m.csv,"[[0.00171107459305983, 0.0065895995588013635, -0.002535150219695736], [0.0065895995588013635, 0.4618939393939398, 0.03878787878787877], [-0.002535150219695736, 0.03878787878787877, 0.07717171717171734]]"
los-1.4m.csv,"[[0.0016338140207402983, 0.013894343785565309, 0.003723334645984148], [0.013894343785565309, 0.39757575757575725, 0.09838383838383852], [0.003723334645984148, 0.09838383838383852, 0.124722222222222]]"
los-1.6m.csv,"[[0.0011863277385757577, 0.00921494863250039, 0.0022087860408455443], [0.00921494863250039, 0.3950505050505047, 0.1809595959595963], [0.0022087860408455443, 0.1809595959595963, 0.14391414141414186]]"
los-1.8m.csv,"[[0.0019442153460767827, 0.012128637421010724, 2.6766639767271485e-06], [0.012128637421010724, 0.2560353535353541, 0.05457070707070712], [2.6766639767271485e-06, 0.05457070707070712, 0.10957070707070686]]"
los-2.0m.csv,"[[0.0006594596841799761, 0.002130900886323717, 0.0005929245491220497], [0.002130900886323717, 0.328762626262626, 0.07083333333333319], [0.0005929245491220497, 0.07083333333333319, 0.07765151515151518]]"
los-2.2m.csv,"[[0.0015363440339663816, 0.009744034030220726, -0.0018997964834926112], [0.009744034030220726, 0.284747474747474, 0.03944444444444443], [-0.0018997964834926112, 0.03944444444444443, 0.0863383838383836]]"
los-2.4m.csv,"[[0.0009764498398772735, 0.004875352695734817, -0.0012132346509683015], [0.004875352695734817, 0.3569696969696969, 0.08696969696969716], [-0.0012132346509683015, 0.08696969696969716, 0.08272727272727276]]"
los-2.6m.csv,"[[0.0016386738429400964, -3.8786271605829005e-05, -0.0018620201072307543], [-3.8786271605829005e-05, 0.19959595959595977, 0.015252525252525243], [-0.0018620201072307543, 0.015252525252525243, 0.09858585858585872]]"
los-2.8m.csv,"[[0.0018114318271072385, 0.014570958144737045, 0.0012587409188050088], [0.014570958144737045, 0.39078282828282773, 0.05770202020202031], [0.0012587409188050088, 0.05770202020202031, 0.09724747474747479]]"
los-3.0m.csv,"[[0.0013735164846465377, 0.01952010578579372, 0.0032526278254961724], [0.01952010578579372, 0.48898989898990014, 0.07666666666666688], [0.0032526278254961724, 0.07666666666666688, 0.059696969696969575]]"
los-3.2m.csv,"[[0.0009833859142942358, 0.003342321340483849, 3.818051983611722e-05], [0.003342321340483849, 0.3206818181818189, 0.027727272727272698], [3.818051983611722e-05, 0.027727272727272698, 0.045353535353535375]]"
los-3.4m.csv,"[[0.0010980997233984548, 0.013932522752068261, -0.0004406036873056432], [0.013932522752068261, 0.5206818181818194, 0.0005303030303030283], [-0.0004406036873056432, 0.0005303030303030283, 0.05401515151515146]]"
los-3.6m.csv,"[[0.0015259501645681613, 0.014843437647578684, -0.0013964629895759347], [0.014843437647578684, 0.3838383838383833, 0.02171717171717172], [-0.0013964629895759347, 0.02171717171717172, 0.06492424242424236]]"
los-3.8m.csv,"[[0.0005602806391327807, 0.002387779674144707, 0.0009879812808951949], [0.002387779674144707, 0.32838383838383856, 0.04080808080808088], [0.0009879812808951949, 0.04080808080808088, 0.039494949494949534]]"
los-4.0m.csv,"[[0.0016357058648879107, 0.013116976227423163, -0.0003905055498836013], [0.013116976227423163, 0.28626262626262594, 0.023434343434343405], [-0.0003905055498836013, 0.023434343434343405, 0.05414141414141403]]"
los-4.2m.csv,"[[0.000888776219858622, 0.007051011143308697, -0.0005737368265787762], [0.007051011143308697, 0.3237121212121209, 0.01429292929292928], [-0.0005737368265787762, 0.01429292929292928, 0.07383838383838383]]"
los-4.4m.csv,"[[0.0005400064108087952, 0.0028555471246892758, 0.00013636627582588583], [0.0028555471246892758, 0.358989898989899, 0.004545454545454539], [0.00013636627582588583, 0.004545454545454539, 0.07575757575757561]]"
los-4.6m.csv,"[[0.001131822604189401, 0.010391859911909008, 0.0010847546355892918], [0.010391859911909008, 0.2893686868686864, 0.014595959595959593], [0.0010847546355892918, 0.014595959595959593, 0.06757575757575762]]"
los-4.8m.csv,"[[0.0006844865567705077, 0.004376970324853452, 0.003498970619355791], [0.004376970324853452, 0.2772474747474749, -0.04217171717171713], [0.003498970619355791, -0.04217171717171713, 1.113636363636366]]"
los-5.0m.csv,"[[0.0004932864162870746, -0.00539167445115369, -0.0010403515835001008], [-0.00539167445115369, 0.3907828282828277, 0.08219696969696963], [-0.0010403515835001008, 0.08219696969696963, 0.08229797979797986]]"
los-5.2m.csv,"[[0.0007927528774373303, 0.000927076628713897, 0.0016290410600527379], [0.000927076628713897, 0.20464646464646483, -0.017171717171717157], [0.0016290410600527379, -0.017171717171717157, 0.07260101010101014]]"
los-5.4m.csv,"[[0.0013104460379912265, 0.004527427548109884, 0.005354300171437888], [0.004527427548109884, 0.25179292929292907, -0.006186868686868707], [0.005354300171437888, -0.006186868686868707, 0.7392676767676722]]"
los-5.6m.csv,"[[0.0010451572906445892, 0.0061203496143071336, 0.0016466657079831511], [0.0061203496143071336, 0.33179292929292964, 0.0386868686868686], [0.0016466657079831511, 0.0386868686868686, 0.05090909090909094]]"
los-5.8m.csv,"[[0.001217814267007601, 0.007310399768328427, 0.0026161646602129696], [0.007310399768328427, 0.30835858585858544, -0.021464646464646468], [0.0026161646602129696, -0.021464646464646468, 0.06818181818181819]]"
los-6.0m.csv,"[[0.0008914858499443568, 0.003949698583044186, 0.0013531227545304735], [0.003949698583044186, 0.3079797979797978, -0.01621212121212121], [0.0013531227545304735, -0.01621212121212121, 0.11260101010100973]]"
los-6.2m.csv,"[[0.0003875922224576719, -0.0014455532545995231, 0.003153433245841902], [-0.0014455532545995231, 0.24088383838383873, 0.0004797979797979828], [0.003153433245841902, 0.0004797979797979828, 0.3711868686868692]]"
los-6.4m.csv,"[[0.001070361282244784, 0.010613380658506144, 0.0005051475582700789], [0.010613380658506144, 0.38068181818181757, -0.009848484848484848], [0.0005051475582700789, -0.009848484848484848, 0.04232323232323236]]"
los-6.6m.csv,"[[0.0005460704733897472, 0.004407996168040267, 0.0018515235245829883], [0.004407996168040267, 0.3718181818181826, 0.032323232323232406], [0.0018515235245829883, 0.032323232323232406, 0.07070707070707075]]"
los-6.8m.csv,"[[0.00043786947148044786, -0.002267868735573509, 0.0014059077128015384], [-0.002267868735573509, 0.2470707070707066, 0.006262626262626266], [0.0014059077128015384, 0.006262626262626266, 0.09926767676767695]]"
los-7.0m.csv,"[[0.0005806333049404526, 0.00253535656013874, 0.0022878683456266768], [0.00253535656013874, 0.23292929292929357, -0.025050505050505108], [0.0022878683456266768, -0.025050505050505108, 0.10444444444444449]]"
los-7.2m.csv,"[[0.0006319066246297468, -0.0015580678226971866, 0.0011651447565868651], [-0.0015580678226971866, 0.27525252525252525, -0.07070707070707072], [0.0011651447565868651, -0.07070707070707072, 0.08797979797979803]]"
los-7.4m.csv,"[[0.0006308758339560661, -0.0021299076080322265, 0.002735965227839922], [-0.0021299076080322265, 0.3127272727272723, 0.028181818181818162], [0.002735965227839922, 0.028181818181818162, 0.18141414141414072]]"
los-7.6m.csv,"[[0.0007156772772448284, 0.003921218207388213, 0.002994954465615628], [0.003921218207388213, 0.31664141414141456, 0.03459595959595952], [0.002994954465615628, 0.03459595959595952, 0.08333333333333334]]"
los-7.8m.csv,"[[0.0009583019693011673, 0.01057979188784204, -0.00012525279112536478], [0.01057979188784204, 0.4468686868686878, -0.03525252525252534], [-0.00012525279112536478, -0.03525252525252534, 0.06808080808080802]]"
nlos1-0.8m.csv,"[[0.00038120176891496833, -0.0014379287759463, 0.00124499967905006], [-0.0014379287759463, 0.2085606060606055, 0.008106060606060606], [0.00124499967905006, 0.008106060606060606, 0.10856060606060636]]"
nlos1-1.0m.csv,"[[0.0006758499421395567, 0.002140908650677613, 0.002213333784931841], [0.002140908650677613, 0.4614898989898983, 0.18964646464646515], [0.002213333784931841, 0.18964646464646515, 0.16757575757575735]]"
nlos1-1.2m.csv,"[[0.0003578190807647247, -0.00039575704420455793, 0.001133736287704622], [-0.00039575704420455793, 0.19535353535353497, -0.021414141414141354], [0.001133736287704622, -0.021414141414141354, 0.11272727272727254]]"
nlos1-1.4m.csv,"[[0.0004415774144256235, -0.0012981821491260725, 0.0006412107535082888], [-0.0012981821491260725, 0.20330808080808022, -0.010707070707070663], [0.0006412107535082888, -0.010707070707070663, 0.05494949494949499]]"
nlos1-1.6m.csv,"[[0.0006085756631030121, -0.0018923228678077162, -0.001042526033189562], [-0.0018923228678077162, 0.1256565656565657, -0.01656565656565658], [-0.001042526033189562, -0.01656565656565658, 0.061515151515151655]]"
nlos1-1.8m.csv,"[[0.00039393657966166947, -0.0017645946295574456, 0.00033217019504970985], [-0.0017645946295574456, 0.13260101010101014, 0.007752525252525261], [0.00033217019504970985, 0.007752525252525261, 0.06310606060606061]]"
nlos1-2.0m.csv,"[[0.003506594731003291, -0.0314379930616024, 0.007039748930451858], [-0.0314379930616024, 1.9250251256281394, 0.015301507537688311], [0.007039748930451858, 0.015301507537688311, 0.07562185929648264]]"
nlos1-2.2m.csv,"[[0.0018672828622358759, 0.1431681894956522, 0.01391482320263159], [0.1431681894956522, 14.690948492462313, 1.4706972361809054], [0.01391482320263159, 1.4706972361809054, 0.2774811557788952]]"
nlos1-2.4m.csv,"[[0.033366288030800634, 0.1766734459354993, 0.020165119035586865], [0.1766734459354993, 7.332731326644393, 0.1887625418060198], [0.020165119035586865, 0.1887625418060198, 0.4756856187290978]]"
nlos1-2.6m.csv,"[[0.046169186283712554, -0.161759605993794, -0.024176977137923907], [-0.161759605993794, 9.155727424749154, 0.613294314381272], [-0.024176977137923907, 0.613294314381272, 0.15189520624303227]]"
nlos1-2.8m.csv,"[[0.06965335759272902, 0.020035792167901703, -0.017425284109253807], [0.020035792167901703, 3.3876811594202896, 0.15824972129320006], [-0.017425284109253807, 0.15824972129320006, 0.07490523968784825]]"
nlos1-3.0m.csv,"[[0.04546289851259782, 0.1913559781269086, 0.011777554028807667], [0.1913559781269086, 1.442263099219624, 0.09730769230769266], [0.011777554028807667, 0.09730769230769266, 0.318336120401338]]"
nlos1-3.2m.csv,"[[0.1895340527897744, 0.2839219850334966, 0.015579531551603486], [0.2839219850334966, 2.094771460423638, 0.05688963210702331], [0.015579531551603486, 0.05688963210702331, 0.0761872909698998]]"
nlos1-3.4m.csv,"[[0.023163753057971862, 0.16391965983038892, 0.008925184170936667], [0.16391965983038892, 3.4252396878483866, 0.38849498327759174], [0.008925184170936667, 0.38849498327759174, 0.08455685618729082]]"
nlos1-3.6m.csv,"[[0.0012063160748561224, 0.002048612745310553, 0.0015252502068229341], [0.002048612745310553, 4.747321627647709, 0.5874303232998883], [0.0015252502068229341, 0.5874303232998883, 0.12681159420289856]]"
nlos1-3.8m.csv,"[[0.0019774147273546746, -0.01847836813400417, 0.004680378221747868], [-0.01847836813400417, 15.301995540691188, 0.8081382385730213], [0.004680378221747868, 0.8081382385730213, 0.4102564102564109]]"
nlos1-4.0m.csv,"[[0.40192987496214, -1.8693912040403189, 0.006318301750531827], [-1.8693912040403189, 31.9282580824972, -0.002017837235228552], [0.006318301750531827, -0.002017837235228552, 0.043099219620958716]]"
nlos1-4.2m.csv,"[[0.04091822009870664, 0.14270009853103616, 0.004393317149235659], [0.14270009853103616, 10.229420289855074, -0.11053511705685584], [0.004393317149235659, -0.11053511705685584, 0.25836120401337737]]"
nlos1-4.4m.csv,"[[4.3637815129140565, -5.059418421897335, -0.03408783642610447], [-5.059418421897335, 24.47568283166109, 0.16328037904124862], [-0.03408783642610447, 0.16328037904124862, 0.03728818283166114]]"
nlos1-4.6m.csv,"[[0.015075230796399575, 0.14882911024550793, 0.015958866610574884], [0.14882911024550793, 5.165005574135999, 0.39635451505016844], [0.015958866610574884, 0.39635451505016844, 0.06113712374581955]]"
nlos1-4.8m.csv,"[[0.08017146667927016, -0.5943131914744805, -0.033795119299404854], [-0.5943131914744805, 4.94207357859533, 0.2746822742474923], [-0.033795119299404854, 0.2746822742474923, 0.07022296544035682]]"
nlos1-5.0m.csv,"[[0.00896032589783903, -0.15737681929483066, -0.007706558085072664], [-0.15737681929483066, 9.02455685618729, 0.3146822742474915], [-0.007706558085072664, 0.3146822742474915, 0.2163433667781496]]"
nlos1-5.2m.csv,"[[0.0012155210583897705, -0.05094848935287799, -0.000529212276539542], [-0.05094848935287799, 7.949997212931994, 0.24947881828316573], [-0.000529212276539542, 0.24947881828316573, 0.08832497212931999]]"
nlos1-5.4m.csv,"[[0.002926218453982111, 0.1824824669475407, 0.007707923614859181], [0.1824824669475407, 16.28222965440356, 0.633578595317725], [0.007707923614859181, 0.633578595317725, 0.07234113712374564]]"
nlos1-5.6m.csv,"[[0.0009885672456287583, 0.003794979990658287, 0.00015757910516881423], [0.003794979990658287, 10.295641025641025, 0.7113433667781504], [0.00015757910516881423, 0.7113433667781504, 0.16966276477146044]]"
nlos1-5.8m.csv,"[[0.0010306184156386859, -0.04479917611299684, -0.00024471368013549927], [-0.04479917611299684, 3.529921962095873, 0.19788182831661125], [-0.00024471368013549927, 0.19788182831661125, 0.18617614269788166]]"
nlos1-6.0m.csv,"[[0.0013337518119655926, -0.03732608632499165, -0.007175750317780861], [-0.03732608632499165, 2.3260869565217392, 0.4180602006688963], [-0.007175750317780861, 0.4180602006688963, 0.1479236343366782]]"
nlos1-6.2m.csv,"[[0.0015583426487663571, -0.02432411563835016, -3.666246216432722e-05], [-0.02432411563835016, 3.1093952062430272, 0.1264186176142696], [-3.666246216432722e-05, 0.1264186176142696, 0.2562179487179489]]"
nlos1-6.4m.csv,"[[0.005468081387767736, -0.05976437398023827, -0.006776088775200989], [-0.05976437398023827, 3.6746794871794872, 0.22805183946488355], [-0.006776088775200989, 0.22805183946488355, 0.06208193979933095]]"
nlos1-6.6m.csv,"[[0.002207231397736438, 0.008470722712003243, -0.0011248815338747156], [0.008470722712003243, 6.340925306577474, 0.07030100334448149], [-0.0011248815338747156, 0.07030100334448149, 0.028494983277592062]]"
nlos1-6.8m.csv,"[[0.009604002988488777, 0.13438179995303964, 0.0021731336459667], [0.13438179995303964, 9.18032329988853, 0.06360089186176128], [0.0021731336459667, 0.06360089186176128, 0.03293199554069122]]"
nlos1-7.0m.csv,"[[0.0012928341111674265, -0.028413801373978264, 0.0003591963014209285], [-0.028413801373978264, 3.4263768115942153, 0.10512820512820523], [0.0003591963014209285, 0.10512820512820523, 0.055950390189520756]]"
nlos1-7.2m.csv,"[[0.0008038938724060697, -0.016526633366826117, -0.0003982140999308133], [-0.016526633366826117, 4.662706243032329, 0.09528985507246442], [-0.0003982140999308133, 0.09528985507246442, 0.023132664437012295]]"
nlos1-7.4m.csv,"[[0.0014537654718306955, 0.003815126174535506, 0.00020599553949192352], [0.003815126174535506, 0.35564102564102557, 0.01290412486064664], [0.00020599553949192352, 0.01290412486064664, 0.02752229654403568]]"
nlos1-7.6m.csv,"[[0.005074889152723505, 0.21323962624655135, 0.006247320541968711], [0.21323962624655135, 15.794303232998873, 0.5035117056856192], [0.006247320541968711, 0.5035117056856192, 0.0944816053511704]]"
nlos1-7.8m.csv,"[[0.0012544112452499943, 0.03735061105942912, 0.011612015605105736], [0.03735061105942912, 4.863575808249724, 0.6291833890746932], [0.011612015605105736, 0.6291833890746932, 0.7364855072463797]]"
